id,observed_on,user_login,quality_grade,url,image_url,place_guess,latitude,longitude,place_county_name,place_state_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
116931173,2022-03-13,safwan0825,research,https://www.inaturalist.org/observations/116931173,https://inaturalist-open-data.s3.amazonaws.com/photos/197425620/medium.jpg,"6th Cross Road, Bengaluru, KA, IN",12.9200954978,77.6477292681,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
118131855,2022-03-09,safwan0825,research,https://www.inaturalist.org/observations/118131855,https://inaturalist-open-data.s3.amazonaws.com/photos/199562231/medium.jpg,"6th Cross Road, Bengaluru, KA, IN",12.9200664347,77.6477487156,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
119562697,2022-04-17,karthik_83,research,https://www.inaturalist.org/observations/119562697,https://inaturalist-open-data.s3.amazonaws.com/photos/202132103/medium.jpg,"Bengaluru, Karnataka 560094, India",13.0346965503,77.5730095071,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
120312986,2022-06-05,safwan0825,research,https://www.inaturalist.org/observations/120312986,https://inaturalist-open-data.s3.amazonaws.com/photos/203476553/medium.jpg,"6th Cross Road, Bengaluru, KA, IN",12.9199827313,77.6476930557,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
120701835,2022-03-13,prajwaldeep,research,https://www.inaturalist.org/observations/120701835,https://static.inaturalist.org/photos/204175118/medium.jpeg,Puttanahalli Lake,13.1108173301,77.5759122893,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
120968189,2022-02-06,prajwaldeep,research,https://www.inaturalist.org/observations/120968189,https://static.inaturalist.org/photos/204655366/medium.jpeg,"Bengaluru, Karnataka, India",12.9715987,77.5945627,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
121107659,2021-03-14,siddharth_pai,research,https://www.inaturalist.org/observations/121107659,https://static.inaturalist.org/photos/204904841/medium.jpg,"Uttara Kannada, Karnataka, India",14.8160846598,74.209544292,Uttar Kannand,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
122922260,2022-06-22,umavaijnath,research,https://www.inaturalist.org/observations/122922260,https://inaturalist-open-data.s3.amazonaws.com/photos/208181036/medium.jpeg,"10th Stone NICE Road, Bengaluru, Karnataka 560062, India",12.8737934715,77.4978214502,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
123927402,2021-06-06,muhammad_amaan,research,https://www.inaturalist.org/observations/123927402,https://static.inaturalist.org/photos/209998367/medium.jpeg,"Kodibag, Karwar, Karnataka, India",14.8147882864,74.1302014142,Uttar Kannand,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
124085187,2022-06-30,rkvirdi,research,https://www.inaturalist.org/observations/124085187,,"Bangalore, IN-KA, IN",13.0703081,77.5825384,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
124097539,2022-06-30,rkvirdi,research,https://www.inaturalist.org/observations/124097539,,"3HCJ+G7W, Rajiv Gandhi Nagar, Kodigehalli, Bengaluru, Karnataka 560065, India",13.0712624,77.5806936,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
127477981,2022-07-23,shivaprakash,research,https://www.inaturalist.org/observations/127477981,https://inaturalist-open-data.s3.amazonaws.com/photos/216423096/medium.jpg,"K.Hemmanahalli, Karnataka 571130, India",12.3092188951,76.5556045912,Mysore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
